source,title,text,url,date,keywords
BBC,"Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio","Where to get the US's best barbecue

From whole hogs to smoked fish and brisket, this all-American smoke-infused cooking style is as diverse as the US itself – and just as rich in history.",https://www.bbc.com/,2025-07-13 12:47:11.857393,[]
BBC,"Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio","Where to get the US's best barbecue

From whole hogs to smoked fish and brisket, this all-American smoke-infused cooking style is as diverse as the US itself – and just as rich in history.",https://www.bbc.com/,2025-07-13 12:47:14.929628,[]
BBC,"Scores, Fixtures, News",Available for over a year,https://www.bbc.com/sport,2025-07-13 12:47:17.518392,[]
BBC,World class video news and storytelling from around the world.,"Japan's mysterious 'Dragon Eye' lake

The Kagami Numa is usually pretty ordinary looking, but visit at the right time and you might witness a phenomenon which transforms the lake into what looks like a giant eye.",https://www.bbc.com/video,2025-07-13 12:47:21.387966,[]
BBC,"Children fetching water killed in Israeli strike in Gaza, emergency officials say","Children fetching water killed in Israeli strike in Gaza, emergency officials say

16 minutes ago Share Save Rushdi Abualouf Gaza correspondent Maia Davies BBC News Share Save

Getty Images Relatives mourn Palestinian child Saraj Ibrahim. In other photos and video, the man in grey is seen carrying the child's body after a strike hit a water distribution point

Ten people, including six children, have been killed in an Israeli air strike while waiting to fill water containers in central Gaza on Sunday, emergency service officials say. Their bodies were sent to Nuseirat's al-Awda Hospital, which also treated 16 injured people including seven children, a doctor there said. Eyewitnesses said a drone fired a missile at a crowd queuing with empty jerry cans next to a water tanker in al-Nuseirat refugee camp. The Israeli military has been asked to comment. Separately, the International Committee of the Red Cross said it had treated more mass casualty cases at its Rafah field hospital in southern Gaza in the last six weeks than in the 12 months before that.

Unverified footage shared online after the strike showed bloodied children and lifeless bodies, with screams of panic and desperation. Residents rushed to the scene and transported the wounded using private vehicles and donkey carts. The strike came as Israeli aerial attacks across the Gaza Strip have escalated. A spokesperson for Gaza's Civil Defence Agency said 19 other Palestinians had been killed on Sunday, in three separate strikes on residential buildings in central Gaza and Gaza City. The International Committee of the Red Cross (ICRC) said that its field hospital in Rafah had received 132 patients ""suffering from weapon-related injuries"" on Saturday, 31 of whom died. ICRC said the ""overwhelming majority"" of the patients had gunshot wounds and ""all responsive individuals"" reported they had been trying to access food distribution sites. It added that the hospital had treated more than 3,400 weapon-wounded patients and recorded more than 250 deaths since new food distribution sites opened on 27 May - exceeding ""all mass casualty cases treated at the hospital"" in the year prior. ""The alarming frequency and scale of these mass casualty incidents underscore the horrific conditions civilians in Gaza are enduring,"" the ICRC said. On Friday, the UN human rights office said that it had recorded 789 aid-related killings. Of those, 615 were in the vicinity of the US and Israeli-backed Gaza Humanitarian Foundation (GHF)'s sites, which opened on 27 May and are operated by US private security contractors inside military zones in southern and central Gaza. The other 183 killings were recorded near UN and other aid convoys. The Israeli military said it recognised there had been incidents in which civilians had been harmed and that it was working to minimise ""possible friction between the population and the [Israeli] forces as much as possible"". The GHF accused the UN of using ""false and misleading"" statistics from Gaza's Hamas-run health ministry. GHF boss Johnnie Moore previously told the BBC he was not denying deaths near aid sites, but said ""100% of those casualties are being attributed to close proximity to GHF"" and that was ""not true"". On Saturday, southern Gaza's Nasser hospital said 24 people were killed near an aid distribution site, where witnesses said Israeli troops had opened fire as people were trying to access food. The Israel Defense Forces (IDF) said there were ""no known injured individuals"" from IDF fire near the site. Separately, an Israeli military official said warning shots were fired to disperse people who the IDF believed were a threat.",https://www.bbc.com/news/articles/c0rvxjnvv71o,2025-07-13 12:47:24.153504,[]
BBC,Mushroom killer: How 'super sleuth' Erin Patterson became true crime obsession,"The mushroom killer was obsessed with true crime. Now true crime fans are obsessed with her

12 hours ago Share Save Tiffanie Turnbull and Katy Watson BBC News Reporting from Morwell, Australia Share Save

Watch: Australia’s mushroom murder case... in under two minutes

For years, from behind a computer screen, Erin Patterson built up a reputation in an online true crime community as a ""super sleuth"". Today, she herself has become a true crime obsession. When three people died – and another fell gravely ill - after eating toxic-mushroom-laced beef Wellingtons at her home in rural Victoria two years ago, her entire life was put under a microscope. Journalists have descended from around the world to cover her lengthy murder trial, spectators have queued daily to nab a spot in the courtroom, and thousands of people have picked apart details of the case online. But, despite a jury earlier this week finding her guilty on all charges, the frenzy of speculation and depth of fascination has only intensified. ""It has shades of Macbeth,"" criminal psychologist Tim Watson-Munro told the BBC.

Getty Images The mushroom murder trial was the biggest case in recent history

It was in one of Australia's smallest courtrooms that its biggest trial in recent history took place. Over 11 weeks, seven documentary-making teams cast their lens on the tiny town of Morwell. Podcasters here were a dime a dozen. Journalists vied for the six seats reserved for media inside the court each day. Even one of Australia's best-loved authors, Helen Garner, frequently dropped by the Latrobe Valley Law Courts, fuelling rumours that she is preparing to write another best-seller. Waiting with the sea of tripods outside the building most mornings of the trial was a queue of camp chairs. Come rain, frost or fog, court watchers – predominantly women, often rugged up in beanies and encased in sleeping bags – watched for the moment the glass doors would open. Once inside, they would lay a line of belongings – scarves, water bottles, notepads, bags – outside the courtroom entry to reserve their spot.

The Patterson trial heard from more than 50 witnesses

Tammy Egglestone commuted for more than an hour to reach Morwell most days of the trial. ""I'm a bit of a true crime fanatic,"" she explains. She was in court when it heard evidence that Patterson was once just like her. Patterson had been an active member in a Facebook group focussed on the crimes of Keli Lane, a woman who was found guilty of killing her two-day-old daughter in one of Australia's most notorious cases. In 2018, Lane became the subject of a major podcast after writing to a journalist claiming to have been wrongly convicted and begging her to investigate. At Patterson's trial, one of her online friends Christine Hunt said she was renowned among her peers for her nimble researching and tech skills. ""She was a bit of a super sleuth,"" she said. ""She was highly regarded in that group.""

Getty Images A Melbourne lane with a mural of Erin Patterson

But as her case unfolded in Morwell, Patterson was also put on trial in the court of public opinion. She became water-cooler talk in workplaces around the country, gossip among friend groups, and the ultimate topic of debate online. Thousands of people theorised over a motive for the crime, provided commentary on bits of evidence, and even alleged corrupt forces were behind the case – much of the discussion unfounded, almost all of it in breach of laws designed to give defendants a fair trial. Memes filled social media feeds. On Google Maps, someone created a restaurant listing at Patterson's home address. Others shared trial bingo cards they had created for those following it closely. Throughout the week the jury was considering their verdict, sequestered in a hotel to protect them from the maelstrom, the question everyone had was: what were they thinking? ""What are they doing in there?"" one lawyer was overheard asking in a Morwell café on day four of deliberations.

Ms Egglestone has spent hours commuting to see the trial evidence in person

With jury members bound by strict secrecy requirements, we will never know. ""In the US, they can interview jurors after a trial,"" Mr Watson-Munro said. ""We can't get into the heads of jurors in Australia… so it's really hard to know what they're thinking has been and why they've come to that conclusion."" That leaves a massive vacuum for members of the public to fill with their speculation. People like Ms Egglestone pondered: if the poisoning was intended to kill, wouldn't Patterson have planned and executed it better? ""I've come in here [as] Switzerland,"" Ms Egglestone clarified, calling the discourse around the case ""very pitchforky"". ""You know, [it's] she's guilty, she's guilty, she's guilty. ""And a lot of them are using hindsight reasoning. 'If I was in that situation, I wouldn't do this, this and this.' Well, you don't know what you would do in that situation."" But people like her were drowned out by the hordes proclaiming Patterson guilty. Many said it was her lies that convinced them. Some claimed the evidence showed a clear lack of empathy and concern for those who died. ""What really gave her away was wearing white pants when she had 'gastro' and needed to go to hospital for it!"" one person posted, referring to CCTV footage of her movements in the days after the lunch, which was played at the trial.

Watch: CCTV and audio shown to court in mushroom trial

Already, the case has inspired a television special, a silver screen drama series, a bevy of podcasts, several documentaries and a handful of books. ""It has those typical cliché things that make true crime sell,"" Ms Egglestone said, explaining why she and flocks of others have become obsessed with the case. ""Poison's the weapon, the fact that she did take out family members... [she's] white, female, financially stable, you know. And they're all church people."" For David Peters, the seemingly benign circumstances surrounding the crime – and the fact it was in his local area – drew him in: ""The fact that it was a family sitting down to do something you would consider to be safe - have a meal - and then the consequences of that meal..."" Several people tell the BBC the case reminds them of the frenzy over Lindy Chamberlain's notorious trial in 1982. She was falsely convicted of murder after her infant daughter Azaria was taken from an outback campsite by a dingo. It's no coincidence that both of those cases centre around women, criminology researcher Brandy Cochrane tells the BBC. The world has long been fascinated by women who kill – in no small part because it contradicts their traditional ""caring"" gender role, they explain. Those stereotypes also cast a shadow on Patterson's time in court.

EPA",https://www.bbc.com/news/articles/c0m8glx2zleo,2025-07-13 12:47:26.913278,[]
BBC,Wimbledon 2025: Jannik Sinner and Carlos Alcaraz resume absorbing rivalry in men's final,"There are a number of factors which turn an exciting rivalry into an epic, enduring duel that transcends the sport.

The core talent. The blend of personalities. The gripping encounters on the biggest stages.

The tussle between Italy's Jannik Sinner and Spain's Carlos Alcaraz - ranked one and two in the men's game - has all those components.

It also has arguably the most important ingredient: each player being pushed to a greater height by the other.

On Sunday, the pair will meet again in the Wimbledon final - where Sinner aims to win his first title and Alcaraz bids for a rare third in a row.

A renewal of their acquaintance at the All England Club comes just 35 days after Alcaraz beat Sinner in an all-time classic French Open final.

Asked about their rivalry, Alcaraz said: ""I'm not going to say I'm feeling like when Rafa [Nadal] and Roger [Federer] are playing.

""But I'm feeling like it is a different energy when we are facing each other than other players.""",https://www.bbc.com/sport/tennis/articles/cn0qzpl9yk4o,2025-07-13 12:47:29.067002,[]
BBC,US drops charges against doctor accused of destroying Covid vaccines,"US drops charges against doctor accused of destroying Covid vaccines

3 hours ago Share Save Maia Davies BBC News Share Save

Reuters Attorney General Pam Bondi said she had ordered the charges to be dropped

The US attorney general has ordered charges to be dropped against a doctor accused of destroying Covid-19 vaccines worth $28,000 (£20,742), distributing fake vaccination record cards, and giving children saline shots instead of the vaccine at their parents' request. Pam Bondi said Dr Michael Kirk Moore Jr. ""gave his patients a choice when the federal government refused to do so"". He had been indicted by the Justice Department under the Biden administration in 2023. The plastic surgeon was already on trial in Utah, where he had pleaded not guilty to all charges including conspiracy to defraud the US.

The acting US Attorney for the district of Utah, Felice John Viti, filed to dismiss the charges on Saturday, saying this was ""in the interests of justice"". Dr Moore was accused of providing fraudulently completed vaccination certificates for more than 1,900 vaccine doses, the US Attorney's office in Utah said in 2023. These were allegedly provided, without administering the vaccine, for a charge of $50 (£37), in exchange for direct cash payments or donations to a specific charity. The government also accused him of giving children saline shots at their parents' request so that the ""children would think they were receiving a COVID-19 vaccine,"" according to the US attorney's office. He was accused alongside his company - Plastic Surgery Institute of Utah, Inc. - and three others of seeking to defraud the US and the Centers for Disease Control and Prevention (CDC).",https://www.bbc.com/news/articles/cy0w1p0wq87o,2025-07-13 12:47:31.332907,[]
BBC,Kim Jong Un reaffirms support for Russia's war in Ukraine,"North Korea reaffirms support for Russia's war in Ukraine

Western officials believe Pyongyang has sent an estimated 11,000 troops to Russia over the last year to fight against Ukraine.

In talks with Russian Foreign Minister Sergei Lavrov in North Korea, Kim said that Pyongyang stood by ""all the measures taken by the Russian leadership"" to tackle the ""root cause of the Ukrainian crisis"".

North Korean leader Kim Jong Un offered Moscow his ""unconditional support"" on the war in Ukraine, according to state media reports.

According to North Korean state media KCNA news agency, Kim and Lavrov met on Saturday in ""an atmosphere full of warm comradely trust"".

The North Korean leader also expressed a ""firm belief that the Russian army and people would surely win victory in accomplishing the sacred cause of defending the dignity and basic interests of the country"".

On Telegram, Russia's foreign ministry posted a video showing the two men shaking hands and greeting each other with a hug.

North Korea's renewed military support for Russia comes as US President Donald Trump has resumed military supplies to Ukraine, after a brief hiatus.

Trump told NBC News on Thursday that he had made a deal with Nato for the US to send Patriot air defence systems to Ukraine via the alliance, after a surge of Russian aerial attacks.

Pyongyang first publicly acknowledged sending troops to Russia in April, months after Ukraine and the West revealed the large-scale troop movement from North Korea to the Russian-Ukrainian frontline.

Kim signed an accord with Russian leader Vladimir Putin in June last year, agreeing to support each other if either country was dealing with ""aggression"".

Apart from soldiers, North Korea also promised to send thousands of workers to help rebuild Russia's war-torn Kursk region, Moscow's security chief said last month.",https://www.bbc.com/news/articles/czeyxrng6gro,2025-07-13 12:47:34.917631,[]
BBC,Mushroom killer: How 'super sleuth' Erin Patterson became true crime obsession,"The mushroom killer was obsessed with true crime. Now true crime fans are obsessed with her

14 hours ago Share Save Tiffanie Turnbull and Katy Watson BBC News Reporting from Morwell, Australia Share Save

Watch: Australia’s mushroom murder case... in under two minutes

For years, from behind a computer screen, Erin Patterson built up a reputation in an online true crime community as a ""super sleuth"". Today, she herself has become a true crime obsession. When three people died – and another fell gravely ill - after eating toxic-mushroom-laced beef Wellingtons at her home in rural Victoria two years ago, her entire life was put under a microscope. Journalists have descended from around the world to cover her lengthy murder trial, spectators have queued daily to nab a spot in the courtroom, and thousands of people have picked apart details of the case online. But, despite a jury earlier this week finding her guilty on all charges, the frenzy of speculation and depth of fascination has only intensified. ""It has shades of Macbeth,"" criminal psychologist Tim Watson-Munro told the BBC.

Getty Images The mushroom murder trial was the biggest case in recent history

It was in one of Australia's smallest courtrooms that its biggest trial in recent history took place. Over 11 weeks, seven documentary-making teams cast their lens on the tiny town of Morwell. Podcasters here were a dime a dozen. Journalists vied for the six seats reserved for media inside the court each day. Even one of Australia's best-loved authors, Helen Garner, frequently dropped by the Latrobe Valley Law Courts, fuelling rumours that she is preparing to write another best-seller. Waiting with the sea of tripods outside the building most mornings of the trial was a queue of camp chairs. Come rain, frost or fog, court watchers – predominantly women, often rugged up in beanies and encased in sleeping bags – watched for the moment the glass doors would open. Once inside, they would lay a line of belongings – scarves, water bottles, notepads, bags – outside the courtroom entry to reserve their spot.

The Patterson trial heard from more than 50 witnesses

Tammy Egglestone commuted for more than an hour to reach Morwell most days of the trial. ""I'm a bit of a true crime fanatic,"" she explains. She was in court when it heard evidence that Patterson was once just like her. Patterson had been an active member in a Facebook group focussed on the crimes of Keli Lane, a woman who was found guilty of killing her two-day-old daughter in one of Australia's most notorious cases. In 2018, Lane became the subject of a major podcast after writing to a journalist claiming to have been wrongly convicted and begging her to investigate. At Patterson's trial, one of her online friends Christine Hunt said she was renowned among her peers for her nimble researching and tech skills. ""She was a bit of a super sleuth,"" she said. ""She was highly regarded in that group.""

Getty Images A Melbourne lane with a mural of Erin Patterson

But as her case unfolded in Morwell, Patterson was also put on trial in the court of public opinion. She became water-cooler talk in workplaces around the country, gossip among friend groups, and the ultimate topic of debate online. Thousands of people theorised over a motive for the crime, provided commentary on bits of evidence, and even alleged corrupt forces were behind the case – much of the discussion unfounded, almost all of it in breach of laws designed to give defendants a fair trial. Memes filled social media feeds. On Google Maps, someone created a restaurant listing at Patterson's home address. Others shared trial bingo cards they had created for those following it closely. Throughout the week the jury was considering their verdict, sequestered in a hotel to protect them from the maelstrom, the question everyone had was: what were they thinking? ""What are they doing in there?"" one lawyer was overheard asking in a Morwell café on day four of deliberations.

Ms Egglestone has spent hours commuting to see the trial evidence in person

With jury members bound by strict secrecy requirements, we will never know. ""In the US, they can interview jurors after a trial,"" Mr Watson-Munro said. ""We can't get into the heads of jurors in Australia… so it's really hard to know what they're thinking has been and why they've come to that conclusion."" That leaves a massive vacuum for members of the public to fill with their speculation. People like Ms Egglestone pondered: if the poisoning was intended to kill, wouldn't Patterson have planned and executed it better? She said the discourse around the case was ""very pitchforky"". ""You know, [it's] she's guilty, she's guilty, she's guilty. ""And a lot of them are using hindsight reasoning. 'If I was in that situation, I wouldn't do this, this and this.' Well, you don't know what you would do in that situation."" But people like her were drowned out by the hordes proclaiming Patterson guilty. Many said it was her lies that convinced them. Some claimed the evidence showed a clear lack of empathy and concern for those who died. ""What really gave her away was wearing white pants when she had 'gastro' and needed to go to hospital for it!"" one person posted, referring to CCTV footage of her movements in the days after the lunch, which was played at the trial.

Watch: CCTV and audio shown to court in mushroom trial

Already, the case has inspired a television special, a silver screen drama series, a bevy of podcasts, several documentaries and a handful of books. ""It has those typical cliché things that make true crime sell,"" Ms Egglestone said, explaining why she and flocks of others have become obsessed with the case. ""Poison's the weapon, the fact that she did take out family members... [she's] white, female, financially stable, you know. And they're all church people."" For David Peters, the seemingly benign circumstances surrounding the crime – and the fact it was in his local area – drew him in: ""The fact that it was a family sitting down to do something you would consider to be safe - have a meal - and then the consequences of that meal..."" Several people tell the BBC the case reminds them of the frenzy over Lindy Chamberlain's notorious trial in 1982. She was falsely convicted of murder after her infant daughter Azaria was taken from an outback campsite by a dingo. It's no coincidence that both of those cases centre around women, criminology researcher Brandy Cochrane tells the BBC. The world has long been fascinated by women who kill – in no small part because it contradicts their traditional ""caring"" gender role, they explain. Those stereotypes also cast a shadow on Patterson's time in court.

EPA",https://www.bbc.com/news/articles/c0m8glx2zleo,2025-07-13 12:47:38.133722,[]
